Schéma;Table;Finalité;Colonne;Type PostgreSQL;Obligatoire;Défaut;Description;Classification;Indexée;Unique;Rétention;Append-only;Partitionnement
iam;mfa_registration;Facteurs 2FA enregistrés.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
iam;mfa_registration;Facteurs 2FA enregistrés.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
iam;mfa_registration;Facteurs 2FA enregistrés.;user_id;uuid;Oui;;Compte.;Interne;Oui;Non;;Non;
iam;mfa_registration;Facteurs 2FA enregistrés.;factor_type;varchar(30);Oui;;TOTP ou WebAuthn.;Interne;Non;Non;;Non;
iam;mfa_registration;Facteurs 2FA enregistrés.;credential_ref;varchar(255);Oui;;Référence chiffrée, jamais le secret brut.;Secret;Non;Non;;Non;
iam;mfa_registration;Facteurs 2FA enregistrés.;verified_at;timestamptz;Non;;Date de vérification.;Interne;Non;Non;;Non;
iam;mfa_registration;Facteurs 2FA enregistrés.;revoked_at;timestamptz;Non;;Date de révocation.;Interne;Non;Non;;Non;
iam;access_review;Campagnes de revue d’accès.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
iam;access_review;Campagnes de revue d’accès.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
iam;access_review;Campagnes de revue d’accès.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
iam;access_review;Campagnes de revue d’accès.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
iam;access_review;Campagnes de revue d’accès.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
iam;access_review;Campagnes de revue d’accès.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
iam;access_review;Campagnes de revue d’accès.;review_code;varchar(60);Oui;;Référence.;Interne;Non;Oui;;Non;
iam;access_review;Campagnes de revue d’accès.;period_start;date;Oui;;Début.;Interne;Non;Non;;Non;
iam;access_review;Campagnes de revue d’accès.;period_end;date;Oui;;Fin.;Interne;Non;Non;;Non;
iam;access_review;Campagnes de revue d’accès.;status;varchar(30);Oui;'DRAFT';État.;Interne;Non;Non;;Non;
iam;access_review;Campagnes de revue d’accès.;approved_at;timestamptz;Non;;Validation finale.;Interne;Non;Non;;Non;
member;person;Personnes physiques liées aux membres.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
member;person;Personnes physiques liées aux membres.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
member;person;Personnes physiques liées aux membres.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
member;person;Personnes physiques liées aux membres.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
member;person;Personnes physiques liées aux membres.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
member;person;Personnes physiques liées aux membres.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
member;person;Personnes physiques liées aux membres.;last_name;varchar(150);Oui;;Nom.;Confidentiel;Non;Non;;Non;
member;person;Personnes physiques liées aux membres.;first_names;varchar(200);Oui;;Prénoms.;Confidentiel;Non;Non;;Non;
member;person;Personnes physiques liées aux membres.;email;varchar(320);Non;;Courriel.;Confidentiel;Oui;Non;;Non;
member;person;Personnes physiques liées aux membres.;phone;varchar(30);Non;;Téléphone.;Confidentiel;Oui;Non;;Non;
member;person;Personnes physiques liées aux membres.;job_title;varchar(150);Non;;Fonction.;Interne;Non;Non;;Non;
member;organization;Personnes morales membres ou prospects.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
member;organization;Personnes morales membres ou prospects.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
member;organization;Personnes morales membres ou prospects.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
member;organization;Personnes morales membres ou prospects.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
member;organization;Personnes morales membres ou prospects.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
member;organization;Personnes morales membres ou prospects.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
member;organization;Personnes morales membres ou prospects.;legal_name;varchar(255);Oui;;Raison sociale.;Confidentiel;Oui;Non;;Non;
member;organization;Personnes morales membres ou prospects.;trade_name;varchar(255);Non;;Nom commercial.;Interne;Non;Non;;Non;
member;organization;Personnes morales membres ou prospects.;organization_type;varchar(40);Oui;;Type.;Interne;Non;Non;;Non;
member;organization;Personnes morales membres ou prospects.;sector_code;varchar(80);Non;;Secteur.;Interne;Oui;Non;;Non;
member;organization;Personnes morales membres ou prospects.;status;varchar(30);Oui;'PROSPECT';Statut.;Interne;Oui;Non;;Non;
member;organization;Personnes morales membres ou prospects.;risk_level;varchar(20);Oui;'NORMAL';Niveau de risque.;Interne;Oui;Non;;Non;
member;organization_identifier;Identifiants légaux et fiscaux.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
member;organization_identifier;Identifiants légaux et fiscaux.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
member;organization_identifier;Identifiants légaux et fiscaux.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
member;organization_identifier;Identifiants légaux et fiscaux.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
member;organization_identifier;Identifiants légaux et fiscaux.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
member;organization_identifier;Identifiants légaux et fiscaux.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
member;organization_identifier;Identifiants légaux et fiscaux.;organization_id;uuid;Oui;;Entreprise.;Interne;Oui;Non;;Non;
member;organization_identifier;Identifiants légaux et fiscaux.;identifier_type;varchar(40);Oui;;NIF, RCCM ou autre.;Interne;Non;Non;;Non;
member;organization_identifier;Identifiants légaux et fiscaux.;identifier_value;varchar(160);Oui;;Valeur.;Confidentiel;Oui;Non;;Non;
member;organization_identifier;Identifiants légaux et fiscaux.;verified;boolean;Oui;false;Vérifié.;Interne;Non;Non;;Non;
member;organization_identifier;Identifiants légaux et fiscaux.;verified_at;timestamptz;Non;;Date de vérification.;Interne;Non;Non;;Non;
member;address;Adresses normalisées.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
member;address;Adresses normalisées.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
member;address;Adresses normalisées.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
member;address;Adresses normalisées.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
member;address;Adresses normalisées.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
member;address;Adresses normalisées.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
member;address;Adresses normalisées.;organization_id;uuid;Non;;Entreprise.;Interne;Oui;Non;;Non;
member;address;Adresses normalisées.;person_id;uuid;Non;;Personne.;Interne;Oui;Non;;Non;
member;address;Adresses normalisées.;address_type;varchar(30);Oui;;Type.;Interne;Non;Non;;Non;
member;address;Adresses normalisées.;line1;varchar(255);Oui;;Adresse.;Confidentiel;Non;Non;;Non;
member;address;Adresses normalisées.;city;varchar(120);Oui;;Ville.;Interne;Non;Non;;Non;
member;address;Adresses normalisées.;country_code;char(2);Oui;'ML';Pays ISO.;Interne;Non;Non;;Non;
member;address;Adresses normalisées.;is_primary;boolean;Oui;false;Adresse principale.;Interne;Non;Non;;Non;
member;organization_contact;Contacts et représentants.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
member;organization_contact;Contacts et représentants.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
member;organization_contact;Contacts et représentants.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
member;organization_contact;Contacts et représentants.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
member;organization_contact;Contacts et représentants.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
member;organization_contact;Contacts et représentants.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
member;organization_contact;Contacts et représentants.;organization_id;uuid;Oui;;Entreprise.;Interne;Oui;Non;;Non;
member;organization_contact;Contacts et représentants.;person_id;uuid;Oui;;Personne.;Interne;Oui;Non;;Non;
member;organization_contact;Contacts et représentants.;contact_role;varchar(50);Oui;;Rôle du contact.;Interne;Non;Non;;Non;
member;organization_contact;Contacts et représentants.;is_legal_representative;boolean;Oui;false;Représentant légal.;Interne;Non;Non;;Non;
member;organization_contact;Contacts et représentants.;valid_from;date;Oui;CURRENT_DATE;Début.;Interne;Non;Non;;Non;
member;organization_contact;Contacts et représentants.;valid_to;date;Non;;Fin.;Interne;Non;Non;;Non;
member;membership;Adhésion d’une entreprise au CNPM.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
member;membership;Adhésion d’une entreprise au CNPM.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
member;membership;Adhésion d’une entreprise au CNPM.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
member;membership;Adhésion d’une entreprise au CNPM.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
member;membership;Adhésion d’une entreprise au CNPM.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
member;membership;Adhésion d’une entreprise au CNPM.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
member;membership;Adhésion d’une entreprise au CNPM.;organization_id;uuid;Oui;;Entreprise.;Interne;Oui;Non;;Non;
member;membership;Adhésion d’une entreprise au CNPM.;membership_number;varchar(60);Oui;;Numéro métier.;Interne;Non;Oui;;Non;
member;membership;Adhésion d’une entreprise au CNPM.;category_code;varchar(50);Oui;;Actif, dormant, prospect, grand cotisant.;Interne;Oui;Non;;Non;
member;membership;Adhésion d’une entreprise au CNPM.;status;varchar(30);Oui;'PENDING';État.;Interne;Oui;Non;;Non;
member;membership;Adhésion d’une entreprise au CNPM.;joined_at;date;Non;;Date d’adhésion.;Interne;Non;Non;;Non;
member;membership;Adhésion d’une entreprise au CNPM.;activated_at;timestamptz;Non;;Activation.;Interne;Non;Non;;Non;
member;membership_status_history;Historique immuable des statuts d’adhésion.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;Vie membre + 10 ans;Oui;
member;membership_status_history;Historique immuable des statuts d’adhésion.;created_at;timestamptz;Oui;now();Horodatage serveur.;Interne;Non;Non;Vie membre + 10 ans;Oui;
member;membership_status_history;Historique immuable des statuts d’adhésion.;created_by;uuid;Non;;Auteur technique ou métier.;Restreint;Oui;Non;Vie membre + 10 ans;Oui;
member;membership_status_history;Historique immuable des statuts d’adhésion.;membership_id;uuid;Oui;;Adhésion.;Interne;Oui;Non;Vie membre + 10 ans;Oui;
member;membership_status_history;Historique immuable des statuts d’adhésion.;from_status;varchar(30);Non;;Ancien statut.;Interne;Non;Non;Vie membre + 10 ans;Oui;
member;membership_status_history;Historique immuable des statuts d’adhésion.;to_status;varchar(30);Oui;;Nouveau statut.;Interne;Non;Non;Vie membre + 10 ans;Oui;
member;membership_status_history;Historique immuable des statuts d’adhésion.;reason;text;Non;;Motif.;Interne;Non;Non;Vie membre + 10 ans;Oui;
member;professional_group;Groupements professionnels.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
member;professional_group;Groupements professionnels.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
member;professional_group;Groupements professionnels.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
member;professional_group;Groupements professionnels.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
member;professional_group;Groupements professionnels.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
member;professional_group;Groupements professionnels.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
member;professional_group;Groupements professionnels.;code;varchar(60);Oui;;Code.;Interne;Non;Oui;;Non;
member;professional_group;Groupements professionnels.;name;varchar(255);Oui;;Nom.;Interne;Non;Non;;Non;
member;professional_group;Groupements professionnels.;sector_code;varchar(80);Non;;Secteur.;Interne;Non;Non;;Non;
member;professional_group;Groupements professionnels.;status;varchar(30);Oui;'ACTIVE';État.;Interne;Non;Non;;Non;
member;group_membership;Rattachement entreprise-groupement.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
member;group_membership;Rattachement entreprise-groupement.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
member;group_membership;Rattachement entreprise-groupement.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
member;group_membership;Rattachement entreprise-groupement.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
member;group_membership;Rattachement entreprise-groupement.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
member;group_membership;Rattachement entreprise-groupement.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
member;group_membership;Rattachement entreprise-groupement.;organization_id;uuid;Oui;;Entreprise.;Interne;Oui;Non;;Non;
member;group_membership;Rattachement entreprise-groupement.;group_id;uuid;Oui;;Groupement.;Interne;Oui;Non;;Non;
member;group_membership;Rattachement entreprise-groupement.;is_primary;boolean;Oui;false;Groupement principal.;Interne;Non;Non;;Non;
member;group_membership;Rattachement entreprise-groupement.;joined_at;date;Oui;CURRENT_DATE;Date.;Interne;Non;Non;;Non;
member;group_membership;Rattachement entreprise-groupement.;left_at;date;Non;;Fin.;Interne;Non;Non;;Non;
member;communication_preference;Consentements et préférences de communication.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
member;communication_preference;Consentements et préférences de communication.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
member;communication_preference;Consentements et préférences de communication.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
member;communication_preference;Consentements et préférences de communication.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
member;communication_preference;Consentements et préférences de communication.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
member;communication_preference;Consentements et préférences de communication.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
member;communication_preference;Consentements et préférences de communication.;organization_id;uuid;Non;;Entreprise.;Interne;Oui;Non;;Non;
member;communication_preference;Consentements et préférences de communication.;person_id;uuid;Non;;Personne.;Interne;Oui;Non;;Non;
member;communication_preference;Consentements et préférences de communication.;channel;varchar(20);Oui;;EMAIL, SMS, PUSH.;Interne;Non;Non;;Non;
member;communication_preference;Consentements et préférences de communication.;purpose;varchar(50);Oui;;Finalité.;Interne;Non;Non;;Non;
member;communication_preference;Consentements et préférences de communication.;allowed;boolean;Oui;true;Autorisation.;Interne;Non;Non;;Non;
member;communication_preference;Consentements et préférences de communication.;captured_at;timestamptz;Oui;now();Date de collecte.;Interne;Non;Non;;Non;
enrollment;prospect;Prospects à convertir.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
enrollment;prospect;Prospects à convertir.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
enrollment;prospect;Prospects à convertir.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
enrollment;prospect;Prospects à convertir.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
enrollment;prospect;Prospects à convertir.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
enrollment;prospect;Prospects à convertir.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
enrollment;prospect;Prospects à convertir.;organization_id;uuid;Non;;Entreprise créée.;Interne;Oui;Non;;Non;
enrollment;prospect;Prospects à convertir.;source_code;varchar(60);Oui;;Origine.;Interne;Non;Non;;Non;
enrollment;prospect;Prospects à convertir.;assigned_group_id;uuid;Non;;Groupement relais.;Interne;Oui;Non;;Non;
enrollment;prospect;Prospects à convertir.;status;varchar(30);Oui;'NEW';État.;Interne;Oui;Non;;Non;
enrollment;prospect;Prospects à convertir.;score;numeric(5,2);Non;;Score de potentiel.;Interne;Non;Non;;Non;
enrollment;enrollment_case;Dossier d’enrôlement.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
enrollment;enrollment_case;Dossier d’enrôlement.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
enrollment;enrollment_case;Dossier d’enrôlement.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
enrollment;enrollment_case;Dossier d’enrôlement.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
enrollment;enrollment_case;Dossier d’enrôlement.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
enrollment;enrollment_case;Dossier d’enrôlement.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
enrollment;enrollment_case;Dossier d’enrôlement.;organization_id;uuid;Oui;;Entreprise.;Interne;Oui;Non;;Non;
